Book Name,Subject,Edition ,Section ,Copies,Id,Author
A first Course on Electric Drives,Machines,,,3,827,Pillai
Electric Drives,Machines,2nd,,3,828,Dubey
Control Of Electric Drives,Machines,2nd,,1,829,Leonhard
Analysis of Electric Machinery And Drive Systems,Machines,3rd,,1,830,"Krause, Wasynczuk, Sudhoff"
Electric Drives,Machines,2nd,,1,831,"Jacob, Feinberg"
,,,,,832,
Power Electronics,Power Electronics ,,,1,833,Bradley
"Thyristors , Theory and its Applications",Power Electronics ,2nd,,1,834,"Sugandhi, Sugandhi"
Switching Circuits,Power Electronics ,,,1,835,"Addison, Wesley"
Power Electronics,Power Electronics ,3rd,,1,836,Rashid
Power Electronics,Power Electronics ,1st,,1,837,"Ned Mohan, Undeland, Riobbins"
Power Electronics,Power Electronics ,3rd,,1,838,Lander
Power Electronics,Power Electronics ,2nd,,1,839,Rashid
Simulation Of Power Electronic Circuits,Power Electronics ,,,1,840,"Patil, Ramnarayanan, Ranganathan"
Pulsewidth Modulation for Power Electronics,Power Electronics ,,,1,841,"Holmes, Lipo"
Electronics-I with Practicals,Power Electronics ,,,1,842,Karandikar
Power Electronics,Power Electronics ,,,2,843,P. C. Sen
,,,,,844,
Numerical Recipes in C,Computer Programming,2nd,,3,845,"Press, Teukolsky, Vellerling, Flanerey"
Let Us C++,,,,1,846,Yashwant Kanetkar
Programming: Principles and Practice using C++,,2nd,,1,847,"Addison, Wesley"
Programming: Principles and Practice using C++,,4th,,1,848,"Addison, Wesley"
C++ FAQs,,2nd,,1,849,"Cline, Lomow, Girow"
Object Oriented Programming with C++,,3rd,,1,850,Balagurusamy
Let Us C,,8th,,1,851,Yashwant Kanetkar
Let Us C,,6th,,1,852,Yashwant Kanetkar
Turbo C,,,,1,853,Borland
How to Program C,,7th,,1,854,"Deitel, Dietel"
The art of Computer Programming Vol.2,,3rd,,1,855,Knuth
The art of Computer Programming Vol.3,,2nd,,1,856,Knuth
Operating Systems,,,,1,857,Milenkovic
Window X,,2nd,,1,858,Barkakati
Data Mining,,,,1,859,Dunham
Pattern Recognition and Image Analysis,,,,1,860,"Gose, Johnson Baugh, Jost"
Switching and Finite Automatum Theory,,2nd,,1,861,Kohavi
Computer Programming made simple,,2nd,,1,862,Maynard
Funadamentals of Database system,,4th,,1,863,"Elmasri, Navathe"
Data Structure and Algorithmic Thinking in Python,,,,1,864,Narasimha Karumanchi
Unofficial Guide to Ethical hacking,,,,1,865,Fadia
Operating Systems,,,,1,866,Dhamdhere
MatLab Programming for Eigen Values,,,,1,867,Chapman
Parallel Computing,,,,1,868,M. R. Bhujade
Principles of artificial Intelligence,,,,1,869,Nilsson
System Simulation with Digital Computer,,,,1,870,Deo
Computer Networks,,5th,,1,871,"Tanenbaum, Wetherall"
